대여소�,보관소(,자치구,상세주�,위도,경도,BASE_DATE,ADM_DR_CD,ADM_DR_NM,OBJECTID,재작성 산출물_일별대여평균이용량
"1166",강서구립등빛도서관,강서구,서울특별시 강서구 강서로62길 48,37.562569000000003,126.842461000000000,"20200630","1116054",등촌3동,"244","55.96712328767124"
"1167",마곡수명산파크3단지 교차로,강서구,서울특별시 강서구 수명로 72,37.553466999999998,126.825928000000005,"20200630","1116067",발산1동,"254","52.54931506849315"
"1168",마곡엠밸리10단지 앞,강서구,서울특별시 강서구 마곡중앙1로 72,37.560226000000000,126.819068999999999,"20200630","1116069",공항동,"255","26.28904109589041"
"1169",염창역 1번 출구,강서구,강서구 공항대로 625,37.547198999999999,126.874488999999997,"20200630","1116051",염창동,"241","33.76164383561644"
"1170",강서구보건소 (삼성디지털 프라자),강서구,강서구 공항대로 571,37.549179000000002,126.868797000000001,"20200630","1116051",염창동,"241","21.938356164383563"
"1171",염창동 새마을금고 건너편 (모닝글로리),강서구,강서구 양천로 696,37.550049000000001,126.873160999999996,"20200630","1116051",염창동,"241","35.06027397260274"
"1172",가양3동 주민센터,강서구,강서구 허준로 202,37.561248999999997,126.860579999999999,"20200630","1116066",가양3동,"253","26.697260273972603"
"1173",강서구청사거리(SH타워),강서구,강서구 공항대로 411,37.556258999999997,126.853317000000004,"20200630","1116052",등촌1동,"242","58.76301369863014"
"1174",강서구청사거리(부민병원),강서구,강서구 공항대로 395,37.556598999999999,126.851471000000004,"20200630","1116054",등촌3동,"244","20.40684931506849"
"1175",대한항공 인력개발센터,강서구,강서구 공항대로 453,37.554378999999997,126.857535999999996,"20200630","1116052",등촌1동,"242","21.86986301369863"
"1177",수명중?고교,강서구,"강서구 수명로1길 16, 401동 앞",37.550109999999997,126.823677000000004,"20200630","1116067",발산1동,"254","25.447945205479453"
"1178",개화산역 2번 출구,강서구,강서구 양천로 22,37.572471999999998,126.806168000000000,"20200630","1116071",방화2동,"257","17.084931506849315"
"1180",마곡엠밸리 15단지(1502동) 건너편,강서구,강서구 마곡중앙로 36,37.557468000000000,126.829719999999995,"20200630","1116067",발산1동,"254","28.9"
"1181",농수산식품공사 (강서지사),강서구,강서구 발산로 40,37.551043999999997,126.818496999999994,"20200630","1116067",발산1동,"254","6.804109589041096"
"1182",KBS 스포츠월드,강서구,강서구 공항대로 376,37.556877000000000,126.848808000000005,"20200630","1116061",화곡6동,"249","46.43150684931507"
"1183",KC 대학교,강서구,강서구 까치산로 24길 47,37.548321000000001,126.853401000000005,"20200630","1116061",화곡6동,"249","6.408219178082192"
"1184",마곡13단지,강서구,강서구 공항동 1343,37.556449999999998,126.815978999999999,"20200630","1116069",공항동,"255","36.271232876712325"
"1185",등촌9단지,강서구,강서구 화곡로 63가길 92 (등촌동 704),37.562900999999997,126.849472000000006,"20200630","1116054",등촌3동,"244","28.535616438356165"
"1186",송정중학교,강서구,강서구 공항동 1342,37.554729000000002,126.816092999999995,"20200630","1116069",공항동,"255","12.812328767123288"
"1187",강서수산물도매시장,강서구,강서구 외발산동 424,37.553019999999997,126.818366999999995,"20200630","1116067",발산1동,"254","10.715068493150683"
