,대여소번호,일별대여평균이용량,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
0,434,5.849315068493151,0.0,120.72,0.0,0.0,0.0,0.0,54.6,0.0,149.72852249681986,1642.1643336592765,563.0369392575373,24.326729460149465,5.0,34934.522,212.3464028923444
1,435,8.983561643835616,0.0,0.0,0.0,4310.19,85472.04,0.0,0.0,0.0,504.291251393279,1042.9531423671542,301.63107708603115,97.43985707929657,6.25,6830.952,177.9281926433025
2,431,413.0,0.0,0.0,0.0,0.0,0.0,0.0,43046.72,0.0,222.82513584721443,1429.6225067409896,325.7559940942008,101.30942148319969,2.75,34813.2905,285.8193318258179
3,433,34.64794520547945,0.0,844.29,0.0,1163.53,15356.87,0.0,438.41,0.0,338.24978625242187,1020.7245670945103,86.11961484318061,91.75537258853912,0.333333333333333,3751.515,199.70746085291543
4,826,26.660273972602734,0.0,2195.41,0.0,0.0,11709.75,0.0,1186.22,0.0,167.24179416643287,1058.467066023902,338.3741320203471,143.78324918932776,1.0,15547.31375,362.3672752560428
5,391,15.436986301369863,0.0,0.0,1853.44,0.0,101.02,0.0,0.0,0.0,168.16816969646604,627.7740397089511,360.5842547230978,301.22871765342785,1.5,3269.474,146.95853709176507
6,398,28.383561643835616,0.0,5189.628,0.0,0.0,6785.94,0.0,315.16,0.0,443.50908366662514,912.564724364184,74.94927524799833,41.706139786563966,1.0,3245.0,311.6649082174868
7,389,26.77671232876712,0.0,5939.66,0.0,0.0,1491.77,0.0,284.29,0.0,245.04520721627793,990.015414838652,92.75319678242515,34.66467815643705,1.0,3245.0,355.7415174564197
8,390,33.57123287671233,0.0,6699.73,0.0,0.0,20791.61,0.0,349.02,0.0,395.4025698821975,588.3509159090748,46.75826759237384,8.932790778079783,1.5,6455.334,265.36848242744685
9,429,4.352054794520548,1282.75,3630.66,0.0,1283.7,0.0,0.0,31327.53,0.0,212.85790234122317,1137.4096311719616,181.288566315203,68.34294869510532,7.33333333333333,32168.5045,297.34635352398783
10,430,14.116438356164384,0.0,7907.91,0.0,9026.49,7887.61,0.0,1963.63,0.0,582.8791535837988,695.5937731927615,356.9213698445163,180.2684997469012,3.0,6351.5995,513.069936127606
11,399,12.536986301369865,0.0,315.44,0.0,0.0,2244.69,0.0,1148.94,0.0,204.02180922392887,903.1276155507674,638.0037770077685,84.36117377711841,4.5,24297.2185,273.3351127281562
12,428,14.623287671232877,0.0,5524.22,0.0,0.0,19664.35,0.0,303.89,0.0,439.7284579185889,850.8135717041641,252.6717642303042,164.3687930851966,1.0,3245.0,354.8811405266413
13,3531,3.671232876712329,0.0,387.0,0.0,0.0,0.0,0.0,35232.35,0.0,157.26341818504292,1558.8946126443022,443.85306448796,16.676323863307903,7.0,45569.3065,69.89965828893227
14,3532,4.215068493150685,0.0,544.38,0.0,0.0,0.0,0.0,2763.866,0.0,169.52681270224522,1427.8475461210187,436.40223643806814,41.227878754175194,5.25,42053.659,138.73272980003034
15,3527,1.887671232876712,0.0,120.72,0.0,0.0,0.0,0.0,54.6,0.0,149.72852249681986,1642.1643336592765,563.0369392575373,24.326729460149465,5.0,34934.522,212.3464028923444
16,3530,7.872602739726028,0.0,544.38,0.0,0.0,0.0,0.0,2763.866,0.0,169.52681270224522,1427.8475461210187,436.40223643806814,41.227878754175194,5.25,42053.659,138.73272980003034
17,507,32.726027397260275,0.0,720.08,0.0,0.0,0.0,0.0,32612.49,0.0,287.5908718262257,1339.0068572599587,372.16712349567,149.3281228627596,0.5,11055.34,135.4684365986704
18,508,31.53150684931507,0.0,15871.77,0.0,0.0,52895.25,0.0,0.0,0.0,143.4380335742931,1609.754213741746,111.8017442679436,132.01911203700422,0.0,11055.34,208.85998915265247
19,3538,16.427397260273974,0.0,1525.44,0.0,0.0,0.0,0.0,3378.74,0.0,109.27164741597718,599.702220226059,445.6177872668346,46.07605959629784,0.5,15113.483,341.03815529433905
20,506,11.001369863013698,0.0,3883.38,0.0,0.0,3822.02,0.0,0.0,0.0,355.3556152076271,1305.0527323438598,499.3765550419224,123.25028225555296,1.5,13629.1405,161.29038130398433
21,3511,78.14520547945206,0.0,1785.11,0.0,0.0,0.0,0.0,1115.37,0.0,241.0978203663704,947.6627056396871,187.30665231562153,43.04929323763008,2.4,27589.474,189.12419767913633
22,3515,66.51917808219179,0.0,0.0,469.8,0.0,0.0,0.0,0.0,0.0,345.8750447339479,1513.6560987296543,249.27962293220347,32.235677597001526,0.5,8670.707,172.1123393795872
23,3525,24.472602739726028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.13228411945846,2029.059396955776,866.0747231157092,81.12892271493027,8.0,17527.381,86.79149150030631
24,3513,35.25205479452055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.29799501158897,1407.704047980612,85.45439873987468,39.38909275786112,3.5,39979.6075,90.61812962873188
25,3514,45.66301369863014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.9601735018735,1806.6731802442443,483.24428098106023,75.75929764074927,3.0,37905.556,0.0
26,841,37.72876712328768,0.0,8728.63,0.0,0.0,28519.77,0.0,0.0,0.0,170.7107578797165,1829.7299358698297,105.50560730375814,102.73205385752468,2.0,8004.138,179.30049655846133
27,843,19.916438356164385,0.0,7399.38,0.0,0.0,0.0,0.0,2865.99,0.0,535.4667648593697,817.1863594842982,256.70493704037153,107.11182984323403,3.0,10367.329,488.09097796310886
28,839,17.905479452054795,0.0,782.69,0.0,0.0,0.0,0.0,33664.54,0.0,505.96190833817315,681.6615907588233,871.8104714941284,57.05218540621768,7.75,21526.761,364.9863141571026
29,840,10.443835616438356,0.0,272.72,0.0,0.0,0.0,0.0,5779.37,0.0,186.2819088689912,2424.149755035662,415.6543731911103,14.392613389109624,0.5,8004.138,283.11794756657065
30,846,17.175342465753424,7751.89,2632.1,0.0,0.0,809.15,0.0,8697.72,0.0,220.86587280645304,1251.6216727202986,846.8560514139707,33.918882110193934,5.5,13247.3065,493.53795915063455
31,844,18.35890410958904,0.0,915.53,0.0,0.0,0.0,0.0,13495.553,0.0,64.73498392291555,1875.2422841036953,881.844649212801,69.66755032455374,0.5,7538.1345,227.29886371062764
32,845,15.60958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31467.952,658.6886654001504,1498.9617490637152,297.26817093166574,34.32519077496936,1.0,8004.138,159.30388702367645
33,832,45.68493150684932,0.0,0.0,0.0,0.0,0.0,0.0,45887.094,0.0,154.09986453895087,2223.1187542275607,111.6854210040353,89.74814910451843,0.0,8987.3835,220.18076898950213
34,834,34.605479452054794,0.0,1797.79,0.0,0.0,0.0,0.0,4371.14,0.0,272.582053029354,875.0588431663299,65.99589803606048,11.600348476363482,1.5,33795.4545,351.89904137545966
35,830,12.341095890410958,0.0,1786.06,0.0,0.0,0.0,0.0,41639.15,0.0,51.87959745526063,960.9481664537561,623.6006544372294,34.751194491103504,4.0,20095.775,129.61224487547008
36,831,9.532876712328768,0.0,2033.83,0.0,0.0,0.0,0.0,3211.24,0.0,449.7080946407274,956.9822383767311,122.16174128985148,127.28281587585889,3.75,11063.4906666667,456.30996092183335
37,837,41.31095890410959,0.0,1058.46,0.0,0.0,0.0,0.0,0.0,0.0,193.8932145175204,935.738142230988,179.9516030434025,190.35082755262508,2.33333333333333,7757.807,248.28215727194856
38,838,22.421917808219177,0.0,12083.5,0.0,0.0,7501.62,0.0,67.58,0.0,347.63909514290833,670.290879106305,36.866857494008045,30.20141657451506,1.0,6763.866,264.17987765294964
39,835,18.343835616438355,3932.95,3174.82,0.0,0.0,1082.31,0.0,703.36,0.0,223.299536030388,671.0526521954507,158.02121167847844,32.670312068345275,1.0,14538.5265,126.5122552229324
40,836,24.135616438356163,0.0,0.0,0.0,0.0,4587.6,0.0,10001.27,0.0,204.84050432543776,1306.915138767736,1024.848700907978,169.84957098302064,0.75,20095.775,138.37938733652928
41,822,8.331506849315069,0.0,104.3,0.0,0.0,3783.81,0.0,0.0,0.0,121.60501369517652,2071.053607213086,794.8422063342231,69.09782791068596,0.5,8987.3835,168.44811849215864
42,823,6.671232876712328,0.0,3965.32,0.0,0.0,2977.94,0.0,4989.37,0.0,19.51383225401449,474.9683401129808,355.6015720392394,35.682278870240644,3.5,22939.548,256.17186719980026
43,819,19.41780821917808,0.0,2070.71,0.0,0.0,22077.02,0.0,2994.68,0.0,266.44494569047777,734.7566560308355,61.05323066088018,65.54200431262426,1.0,19153.368,253.6722570608792
44,820,17.293150684931508,0.0,412.64,0.0,0.0,8892.71,0.0,1503.14,0.0,214.0038810340542,708.1746650416176,463.4766769456433,46.64506105469496,5.33333333333333,6763.866,204.78541822010504
45,828,16.453424657534246,0.0,12083.5,0.0,0.0,7501.62,0.0,67.58,0.0,347.63909514290833,670.290879106305,36.866857494008045,30.20141657451506,1.0,6763.866,264.17987765294964
46,829,61.5958904109589,0.0,0.0,0.0,0.0,0.0,0.0,52741.87,0.0,270.916873082839,2075.918731735582,835.6734917201686,158.13548162383668,1.0,8348.966,234.31143290632508
47,825,59.23698630136986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.3405746499459,1037.6105125639667,554.2032338666342,40.01129053913452,3.66666666666667,4971.071,231.26769451190657
48,827,4.8054794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.6038777949094,1429.8894758599552,778.2159696315955,371.9364813295484,5.0,6255.4025,0.0
49,583,1081.230970815962,0.0,0.0,0.0,0.0,3573.37,0.0,15479.93,0.0,260.1337496920051,1231.9167153757776,178.80137638662796,26.735420826849115,0.75,21940.566,314.8889782067059
50,585,60.704109589041096,0.0,7040.02,0.0,0.0,0.0,0.0,5465.271,0.0,33.363382163247714,1926.876414623849,840.0042016325744,60.15085820948579,0.0,14321.186,471.2331042470108
