,grid,rank
1500,1462,413
1799,6950,414
2215,7738,415
2484,7446,416
2880,4283,417
415,4023,418
1521,1282,419
2494,7452,420
5,2174,421
123,2346,422
1079,8325,423
2129,6473,424
402,4004,425
687,3117,426
3499,5970,427
129,2348,428
3201,5791,429
2333,7388,430
3420,6116,431
1508,1470,432
1552,1371,433
2175,7885,434
541,3943,435
3478,5951,436
70,2526,437
408,4014,438
1695,6753,439
2271,7977,440
3391,6061,441
1102,8418,442
999,8772,443
1871,6303,444
9,2434,445
2994,4194,446
3087,4358,447
2617,4622,448
3844,2692,449
1405,1908,450
198,3735,451
973,8952,452
3267,5880,453
15,2436,454
3181,5771,455
969,8951,456
2266,7974,457
346,3669,458
1235,1733,459
65,2523,460
122,2347,461
1520,1283,462
124,2345,463
1888,6318,464
2,2169,465
1404,1909,466
1979,6213,467
941,8859,468
1800,6949,469
1098,8414,470
1236,1732,471
2486,7444,472
1331,1997,473
3211,5797,474
335,3656,475
1367,1821,476
69,2527,477
71,2525,478
966,8946,479
202,3739,480
2183,7703,481
946,8862,482
1345,1803,483
2427,7563,484
1767,6919,485
836,3564,486
1289,1643,487
107,2330,488
2451,7629,489
14,2437,490
685,3119,491
1368,1820,492
1185,8503,493
75,2529,494
3750,5618,495
947,8861,496
425,4029,497
1234,1734,498
1294,1646,499
2871,4268,500
1553,1370,501
1229,1731,502
72,2524,503
545,3944,504
1208,1705,505
2459,7637,506
3373,6047,507
525,3927,508
1295,1645,509
1433,1204,510
1558,1373,511
3473,5940,512
1332,1996,513
2256,8158,514
3450,5894,515
1055,9040,516
3305,5689,517
1689,6751,518
3,2168,519
2539,7546,520
992,8771,521
1239,1736,522
2149,6493,523
2620,4627,524
2677,4712,525
479,3853,526
1696,6752,527
2210,7735,528
2673,4708,529
993,8770,530
1293,1647,531
1361,1819,532
203,3738,533
1123,8236,534
526,3926,535
1512,1473,536
3419,6117,537
3495,5966,538
199,3734,539
1296,1644,540
994,8769,541
2008,6240,542
4,2175,543
1260,1559,544
2770,4887,545
3413,6115,546
270,3824,547
542,3942,548
1230,1730,549
2107,6416,550
476,3848,551
1233,1735,552
1398,1907,553
2485,7445,554
1403,1910,555
1256,1555,556
1528,1291,557
19,2440,558
133,2352,559
3329,5713,560
2098,6409,561
1325,1995,562
274,3828,563
2469,7651,564
1039,1013,565
76,2528,566
212,3745,567
1261,1558,568
1400,1905,569
3301,5685,570
210,3747,571
2980,4176,572
1372,1824,573
1557,1374,574
1290,1642,575
461,4095,576
1362,1818,577
1050,9030,578
10,2433,579
760,3471,580
2978,4178,581
3086,4359,582
2460,7636,583
125,2344,584
1511,1474,585
2099,6408,586
2771,4886,587
1365,1823,588
509,3911,589
1238,1737,590
1291,1641,591
90,2315,592
3260,5879,593
460,4088,594
3259,5872,595
2295,7348,596
355,3676,597
1049,9031,598
1389,1892,599
66,2522,600
945,8863,601
2470,7650,602
1262,1557,603
1399,1906,604
52,2504,605
289,3589,606
1143,8592,607
1018,924,608
2579,4800,609
943,8857,610
1326,1994,611
2777,4888,612
1292,1640,613
1424,1197,614
1253,1550,615
1402,1911,616
1366,1822,617
1052,835,618
2938,4108,619
1363,1817,620
2263,7969,621
3692,5525,622
1263,1556,623
2672,4709,624
3381,6055,625
1414,1191,626
1330,1998,627
2573,4798,628
1232,1728,629
1929,6389,630
965,8942,631
506,3906,632
3288,5674,633
1371,1825,634
3501,5968,635
3855,2705,636
11,2432,637
1531,1288,638
1316,1980,639
1510,1468,640
845,3579,641
3318,5700,642
1948,6154,643
397,4001,644
3328,5714,645
67,2521,646
1285,1639,647
178,3715,648
326,3649,649
971,8949,650
1237,1738,651
1327,1993,652
3209,5799,653
150,2407,654
964,8943,655
1169,8685,656
341,3666,657
3498,5971,658
94,2319,659
1231,1729,660
940,8853,661
1998,6234,662
2671,4710,663
3390,6062,664
1257,1554,665
1434,1210,666
263,3823,667
