대여소번호,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,sum,LUM,일별대여평균이용량
502.0,137.510195383772,1430.13145962286,55.873031695231504,59.208388218035495,0.5,24085,714.440639945863,138482.1,0.01897009449591407,258.6054794520548
207.0,209.972348757627,2254.2256275768,72.0016201304465,31.2574190651333,1.0,15710,356.416445261946,62440.76,0.008662777425325705,250.93424657534248
3533.0,161.743566865639,639.201939641536,175.855911048819,42.8814419890776,0.0,43626,549.726995147895,102042.82,0.2220472925559035,135.22739726027396
1210.0,324.671475501359,2761.5146787336403,145.087355080507,70.40603632214079,0.333333333333333,24052,348.69440695656897,0.0,0.0,133.01780821917808
1308.0,332.36653382138,749.6464762844209,408.45080256641296,12.1033768561294,1.25,41364,1258.67835344827,78755.59,0.5348767039964665,117.18082191780822
2102.0,328.405500186675,3051.0761195752502,293.914513233353,78.23939956138459,1.0,56910,1491.11708125194,36737.55,0.5653935107325722,150.4931506849315
2219.0,155.238160509225,724.074114847146,177.668300396511,63.0128919862205,1.0,20796,562.528277239261,325272.39,0.1862777909028568,131.6958904109589
210.0,352.171308790617,2721.55115253034,507.157398021112,82.0686580139514,1.0,15710,263.943931947851,344776.77,0.5038083581854073,114.74246575342464
247.0,227.257782777298,2817.11787955746,78.3321286064519,67.13631921389711,0.5,21984,716.564542072107,88184.81,0.6004995662800346,116.10684931506847
2701.0,970.586211623718,2149.2001179708,305.416618219733,6.15706899841401,1.0,43641,209.721609240419,0.0,0.0,118.38082191780822
1906.0,85.901899754964,2234.96240996324,152.89043560438802,60.8245390716118,0.333333333333333,18567,312.858755059719,259671.96,0.1709275988388786,113.07397260273972
230.0,102.576782033861,3678.1461179151793,43.9974021084671,70.5358670375813,0.0,11297,880.2593135396021,50481.32,0.4818614017933731,98.60958904109587
106.0,296.694050890541,1163.82676000054,121.399505291988,22.230341954372697,0.75,27983,976.6806938781232,54889.97,0.40911378041689184,98.64109589041097
272.0,58.7256753819626,2591.47578535408,163.082881842123,121.299781397117,1.8,21984,972.019238209906,26097.94,0.49176290907373627,112.74246575342464
505.0,296.877882795832,768.638457992515,324.532094389295,26.1175154997611,0.8,12678,399.781833625985,433293.19,0.22847136703481952,84.33150684931506
590.0,372.72830594285006,396.016188887908,290.96617816092703,152.218425082432,0.5,33612,190.26426957856097,125900.95999999999,0.30124696842825005,68.05479452054794
907.0,233.587592765632,438.5244953305941,150.155471231548,127.405996926116,0.5,52747,787.778717357087,66419.59,0.5096774809703637,105.42054794520548
102.0,229.919251708698,1442.39797711167,70.98876060721159,57.8836419421748,0.0,28989,954.401111400134,53959.11,0.47913793267349847,80.93424657534247
565.0,39.9464766044214,2299.64166460665,79.86710129812191,41.54745885751421,3.5,13242,648.704342216387,34468.07,0.20903431095865538,107.0890410958904
202.0,445.863886765893,2433.98529095237,593.607384027912,140.506771702715,0.333333333333333,15710,426.349758278024,172740.56,0.0065651189224534365,86.98630136986301
183.0,267.871375057256,1697.8558618718,505.367882054925,74.6436817906193,1.4,9741,841.595088959378,39398.75,0.21949933943699929,74.47123287671234
2183.0,239.295384025052,1831.34287117386,1365.23148913392,70.9767493675058,1.8,40236,1340.96794103616,32563.249999999996,0.3427105177798405,100.26849315068492
3541.0,264.767052769726,1214.16848090772,738.3913215250391,80.37061153074909,1.5,41536,610.539813801461,15984.86,0.38718685162618643,77.59178082191781
1222.0,326.364086534081,3447.35203780927,103.450341076175,61.563349475900296,0.5,51164,383.834718824174,64957.71000000001,0.43410250149016955,87.03561643835616
274.0,299.720667873836,3993.71329245498,131.25987752538902,85.3778951041941,1.5,29447,577.835071094249,199252.66999999998,0.36525631915088896,85.48904109589041
1911.0,375.959311872884,3456.10711810461,36.871028143287,38.258725239746,0.5,22812,1261.50484503034,31976.53,0.18439855368756375,96.97534246575344
114.0,130.613576910885,712.593567831727,85.90353133923229,53.30924398333071,1.25,17583,869.2219715778759,124172.68,0.5098325955786941,83.5013698630137
2177.0,213.511503163799,4051.08341250183,38.76211423207271,34.2283580069132,0.5,37072,1492.92644292024,22468.41,0.2695366020321544,104.14383561643837
421.0,83.4753657358221,2511.7944944628102,326.537535483605,33.8790450013485,1.0,21620,293.222165227844,59925.29,0.11539513992319615,68.41506849315068
284.0,371.796279226084,3634.97680575813,557.664153346262,76.4112441147705,0.5,36181,712.416704033911,395788.78,0.2645601620598927,81.1041095890411
602.0,131.850943004757,1764.4402122933602,1332.85711634114,72.9159635760014,0.0,35542,762.502525464443,161089.31,0.582871485798924,78.81917808219178
1153.0,55.8850692955616,1031.6267218039,51.3400128077122,55.951688107335,0.0,76481,888.529929247047,28574.54,0.0,107.2082191780822
1158.0,204.063566384344,1381.4176830560098,50.56321495814589,87.9090348999707,0.5,41901,509.362017803128,80538.04999999999,0.5319436156862719,94.16301369863014
3518.0,433.529183621624,681.382600342253,45.695345177441,27.2027955382063,0.5,40162,889.250053744995,39626.8,0.49900761171723024,75.41780821917808
232.0,262.959489092675,3305.9792318254304,722.957382998801,89.29458695845129,0.0,11045,907.2076166008568,46410.65,0.3114414198340745,76.3
144.0,564.436214147247,314.068052514128,54.1779810708589,18.6625880885615,1.5,55088,820.0332576673641,90255.52,0.012574229790456306,77.23150684931507
567.0,168.048782887129,1665.98510445117,99.1621591062042,72.8615832922926,0.0,5813,764.479499153654,81947.42,0.338264845367219,69.46438356164384
509.0,374.04789181932296,1938.57416703002,622.768122157682,66.9453802285275,0.0,16407,451.84342774886,108229.35,0.17743018241499903,73.8027397260274
