,대여소번호,일별평균이용량,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
0,502.0,534.8958904109588,0.0,0.0,0.0,0.0,906.6,0.0,137575.5,0.0,137.510195383772,1430.1314596228601,55.873031695231504,59.208388218035495,0.5,24085,714.440639945863
1,207.0,489.50547945205483,0.0,161.73,0.0,0.0,0.0,0.0,62279.03,0.0,209.972348757627,2254.2256275768,72.0016201304465,31.2574190651333,1.0,15710,356.416445261946
2,583.0,346.08082191780824,0.0,1932.8,0.0,0.0,4184.18,0.0,59977.04,0.0,233.56269650666698,1087.7315219632499,197.71608875001598,47.01997991936971,0.5714285714285711,30156,520.130671865734
3,3533.0,239.72602739726028,0.0,5763.49,4697.48,0.0,0.0,0.0,1152.39,90429.46,161.743566865639,639.201939641536,175.855911048819,42.8814419890776,0.0,43626,549.726995147895
4,152.0,2411.377551020408,0.0,954.1,0.0,0.0,0.0,0.0,30110.49,0.0,99.60635475543431,2534.78632398677,899.273615319881,53.992085408448496,0.5,21319,739.718937538337
5,1210.0,254.45068493150688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.671475501359,2761.5146787336403,145.087355080507,70.40603632214079,0.33333333333333304,24052,348.69440695656897
6,1308.0,223.6027397260274,39658.62,27219.63,552.09,0.0,3227.37,0.0,8097.88,0.0,332.36653382137996,749.6464762844209,408.45080256641296,12.103376856129401,1.25,41364,1258.67835344827
7,2102.0,286.3986301369863,0.0,19505.42,0.0,6333.89,3055.22,0.0,7843.02,0.0,328.405500186675,3051.0761195752502,293.914513233353,78.23939956138459,1.0,56910,1491.11708125194
8,2219.0,250.27671232876716,0.0,7785.68,0.0,0.0,0.0,0.0,25702.35,291784.36,155.238160509225,724.074114847146,177.668300396511,63.0128919862205,1.0,20796,562.528277239261
9,210.0,226.1027397260274,0.0,0.0,0.0,91252.64,168157.95,0.0,0.0,85366.18,352.171308790617,2721.55115253034,507.157398021112,82.0686580139514,1.0,15710,263.943931947851
10,247.0,227.33698630136985,0.0,14700.88,8540.34,268.79,7274.04,0.0,51277.63,6123.13,227.25778277729802,2817.11787955746,78.3321286064519,67.13631921389711,0.5,21984,716.564542072107
11,2701.0,226.89041095890408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.586211623718,2149.2001179708,305.416618219733,6.15706899841401,1.0,43641,209.721609240419
12,1906.0,208.88630136986302,0.0,0.0,0.0,0.0,0.0,0.0,29683.27,229988.69,85.901899754964,2234.9624099632397,152.89043560438802,60.824539071611795,0.33333333333333304,18567,312.858755059719
13,230.0,193.7342465753425,0.0,27425.41,0.0,0.0,10010.35,0.0,13045.56,0.0,102.57678203386101,3678.1461179151793,43.9974021084671,70.5358670375813,0.0,11297,880.2593135396021
14,106.0,192.6027397260274,0.0,12437.8,0.0,1342.71,3249.8,0.0,37859.66,0.0,296.694050890541,1163.82676000054,121.39950529198799,22.230341954372697,0.75,27983,976.6806938781231
15,272.0,226.4561643835617,0.0,7963.72,0.0,0.0,13181.1,0.0,4953.12,0.0,58.7256753819626,2591.47578535408,163.082881842123,121.299781397117,1.8,21984,972.019238209906
16,505.0,167.2986301369863,0.0,8200.79,0.0,0.0,55761.92,0.0,369330.48,0.0,296.87788279583197,768.638457992515,324.532094389295,26.1175154997611,0.8,12678,399.78183362598503
17,590.0,138.34794520547942,40214.28,0.0,0.0,0.0,0.0,85686.68,0.0,0.0,372.72830594285006,396.016188887908,290.96617816092703,152.218425082432,0.5,33612,190.26426957856097
18,907.0,208.8164383561644,0.0,7381.82,0.0,0.0,22422.6,2093.1,34522.07,0.0,233.58759276563202,438.52449533059405,150.155471231548,127.405996926116,0.5,52747,787.778717357087
19,102.0,154.92054794520547,0.0,28713.27,0.0,0.0,9045.97,0.0,16199.87,0.0,229.919251708698,1442.39797711167,70.98876060721159,57.8836419421748,0.0,28989,954.401111400134
20,565.0,221.4698630136986,0.0,2817.84,0.0,0.0,1238.26,0.0,30411.97,0.0,39.9464766044214,2299.64166460665,79.86710129812191,41.54745885751421,3.5,13242,648.704342216387
21,202.0,170.2068493150685,0.0,324.03,0.0,0.0,172416.53,0.0,0.0,0.0,445.863886765893,2433.98529095237,593.607384027912,140.50677170271499,0.33333333333333304,15710,426.349758278024
22,183.0,140.84246575342462,0.0,6711.46,0.0,0.0,0.0,0.0,32687.29,0.0,267.871375057256,1697.8558618718,505.367882054925,74.6436817906193,1.4,9741,841.595088959378
23,2183.0,190.0671232876712,1018.17,25847.85,0.0,0.0,2151.69,0.0,3545.54,0.0,239.295384025052,1831.3428711738602,1365.23148913392,70.9767493675058,1.8,40236,1340.96794103616
24,3541.0,135.8712328767123,0.0,8817.15,0.0,0.0,524.1,0.0,6643.61,0.0,264.767052769726,1214.1684809077199,738.3913215250391,80.37061153074909,1.5,41536,610.539813801461
25,1222.0,167.5041095890411,0.0,36141.51,0.0,2662.59,0.0,0.0,24860.65,1292.96,326.364086534081,3447.35203780927,103.45034107617501,61.563349475900296,0.5,51164,383.834718824174
26,274.0,175.94246575342467,0.0,16796.27,181.25,36483.63,0.0,0.0,129.81,145661.71,299.72066787383596,3993.7132924549796,131.25987752538902,85.3778951041941,1.5,29447,577.835071094249
27,1911.0,184.7164383561644,0.0,27868.87,0.0,0.0,4107.66,0.0,0.0,0.0,375.959311872884,3456.10711810461,36.871028143287,38.258725239746,0.5,22812,1261.50484503034
