대여소번호,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,일별대여평균이용량
502.0,0.0,0.0,0.0,0.0,906.6,0.0,137575.5,0.0,137.510195383772,1430.13145962286,55.873031695231504,59.208388218035495,0.5,24085,714.440639945863,258.6054794520548
207.0,0.0,161.73,0.0,0.0,0.0,0.0,62279.03,0.0,209.972348757627,2254.2256275768,72.0016201304465,31.2574190651333,1.0,15710,356.416445261946,250.93424657534248
3533.0,0.0,5763.49,4697.48,0.0,0.0,0.0,1152.39,90429.46,161.743566865639,639.201939641536,175.855911048819,42.8814419890776,0.0,43626,549.726995147895,135.22739726027396
1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.671475501359,2761.5146787336403,145.087355080507,70.40603632214079,0.333333333333333,24052,348.69440695656897,133.01780821917808
1308.0,39658.62,27219.63,552.09,0.0,3227.37,0.0,8097.88,0.0,332.36653382138,749.6464762844209,408.45080256641296,12.1033768561294,1.25,41364,1258.67835344827,117.18082191780822
2102.0,0.0,19505.42,0.0,6333.89,3055.22,0.0,7843.02,0.0,328.405500186675,3051.0761195752502,293.914513233353,78.23939956138459,1.0,56910,1491.11708125194,150.4931506849315
2219.0,0.0,7785.68,0.0,0.0,0.0,0.0,25702.35,291784.36,155.238160509225,724.074114847146,177.668300396511,63.0128919862205,1.0,20796,562.528277239261,131.6958904109589
210.0,0.0,0.0,0.0,91252.64,168157.95,0.0,0.0,85366.18,352.171308790617,2721.55115253034,507.157398021112,82.0686580139514,1.0,15710,263.943931947851,114.74246575342464
247.0,0.0,14700.88,8540.34,268.79,7274.04,0.0,51277.63,6123.13,227.257782777298,2817.11787955746,78.3321286064519,67.13631921389711,0.5,21984,716.564542072107,116.10684931506847
2701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.586211623718,2149.2001179708,305.416618219733,6.15706899841401,1.0,43641,209.721609240419,118.38082191780822
1906.0,0.0,0.0,0.0,0.0,0.0,0.0,29683.27,229988.69,85.901899754964,2234.96240996324,152.89043560438802,60.8245390716118,0.333333333333333,18567,312.858755059719,113.07397260273972
230.0,0.0,27425.41,0.0,0.0,10010.35,0.0,13045.56,0.0,102.576782033861,3678.1461179151793,43.9974021084671,70.5358670375813,0.0,11297,880.2593135396021,98.60958904109587
106.0,0.0,12437.8,0.0,1342.71,3249.8,0.0,37859.66,0.0,296.694050890541,1163.82676000054,121.399505291988,22.230341954372697,0.75,27983,976.6806938781232,98.64109589041097
272.0,0.0,7963.72,0.0,0.0,13181.1,0.0,4953.12,0.0,58.7256753819626,2591.47578535408,163.082881842123,121.299781397117,1.8,21984,972.019238209906,112.74246575342464
505.0,0.0,8200.79,0.0,0.0,55761.92,0.0,369330.48,0.0,296.877882795832,768.638457992515,324.532094389295,26.1175154997611,0.8,12678,399.781833625985,84.33150684931506
590.0,40214.28,0.0,0.0,0.0,0.0,85686.68,0.0,0.0,372.72830594285006,396.016188887908,290.96617816092703,152.218425082432,0.5,33612,190.26426957856097,68.05479452054794
907.0,0.0,7381.82,0.0,0.0,22422.6,2093.1,34522.07,0.0,233.587592765632,438.5244953305941,150.155471231548,127.405996926116,0.5,52747,787.778717357087,105.42054794520548
102.0,0.0,28713.27,0.0,0.0,9045.97,0.0,16199.87,0.0,229.919251708698,1442.39797711167,70.98876060721159,57.8836419421748,0.0,28989,954.401111400134,80.93424657534247
565.0,0.0,2817.84,0.0,0.0,1238.26,0.0,30411.97,0.0,39.9464766044214,2299.64166460665,79.86710129812191,41.54745885751421,3.5,13242,648.704342216387,107.0890410958904
202.0,0.0,324.03,0.0,0.0,172416.53,0.0,0.0,0.0,445.863886765893,2433.98529095237,593.607384027912,140.506771702715,0.333333333333333,15710,426.349758278024,86.98630136986301
183.0,0.0,6711.46,0.0,0.0,0.0,0.0,32687.29,0.0,267.871375057256,1697.8558618718,505.367882054925,74.6436817906193,1.4,9741,841.595088959378,74.47123287671234
2183.0,1018.17,25847.85,0.0,0.0,2151.69,0.0,3545.54,0.0,239.295384025052,1831.34287117386,1365.23148913392,70.9767493675058,1.8,40236,1340.96794103616,100.26849315068492
3541.0,0.0,8817.15,0.0,0.0,524.1,0.0,6643.61,0.0,264.767052769726,1214.16848090772,738.3913215250391,80.37061153074909,1.5,41536,610.539813801461,77.59178082191781
1222.0,0.0,36141.51,0.0,2662.59,0.0,0.0,24860.65,1292.96,326.364086534081,3447.35203780927,103.450341076175,61.563349475900296,0.5,51164,383.834718824174,87.03561643835616
274.0,0.0,16796.27,181.25,36483.63,0.0,0.0,129.81,145661.71,299.720667873836,3993.71329245498,131.25987752538902,85.3778951041941,1.5,29447,577.835071094249,85.48904109589041
1911.0,0.0,27868.87,0.0,0.0,4107.66,0.0,0.0,0.0,375.959311872884,3456.10711810461,36.871028143287,38.258725239746,0.5,22812,1261.50484503034,96.97534246575344
114.0,0.0,26235.44,0.0,0.0,63681.32,0.0,915.35,33340.57,130.613576910885,712.593567831727,85.90353133923229,53.30924398333071,1.25,17583,869.2219715778759,83.5013698630137
2177.0,0.0,16888.98,0.0,0.0,0.0,0.0,5579.43,0.0,213.511503163799,4051.08341250183,38.76211423207271,34.2283580069132,0.5,37072,1492.92644292024,104.14383561643837
