,대여소번호,일별평균이용량,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
1028,1148,34.37671233,0,5875.01,0,0,0,0,41633.47,0,33.84418291,1018.866045,381.7316799,155.7864057,2.75,19357,1045.667459
158,1149,137.6287671,0,0,0,0,0,0,0,0,199.1871442,2229.621295,150.4347595,102.4143287,1,21002,584.6136667
298,1150,103.6534247,0,16231.25,0,0,0,0,9699.45,0,122.3256677,1589.774049,138.189417,32.37088612,0.5,16075,693.3785205
653,1151,36.08219178,0,0,0,0,0,0,0,0,788.610316,1645.805717,174.7658915,172.3731789,0,56960,384.8343506
492,1152,98.7630137,0,0,0,0,0,0,0,0,765.3690784,1670.851724,197.3932352,93.65854658,0.666666667,40885,538.8624985
33,1153,206.6849315,0,28574.54,0,0,0,0,0,0,55.8850693,1031.626722,51.34001281,55.95168811,0,76481,888.5299292
440,1155,72.81780822,28383.95,20.52,0,0,0,0,57571.81,0,65.21305652,2124.259455,633.5670218,54.77616864,0.666666667,28411,309.519425
488,1157,82.50958904,619.38,6261.44,0,0,15254.89,0,38888.01,0,135.3867255,462.141214,1207.100675,46.39805793,1,13255,629.2587068
34,1158,179.5452055,11990.36,2649.38,0,0,40387.85,0,25510.46,0,204.0635664,1381.417683,50.56321496,87.9090349,0.5,41901,509.3620178
612,1159,57.94520548,0,4621.11,0,0,0,0,0,0,336.442792,1722.004739,543.0694713,146.2774254,0,22639,268.0447267
1350,1161,15.37808219,0,0,0,0,0,0,0,0,439.9192329,561.6786672,1271.405715,29.25347509,1,18246,182.2153245
676,1162,51.26986301,0,0,0,0,0,0,0,0,505.5422903,1781.49009,519.5668552,49.99883052,0.333333333,59716,395.0246715
875,1163,42.91506849,0,4357.4,0,0,4989.43,0,36523.08,0,141.6723194,2610.373686,450.6890734,172.6820535,0.5,21002,441.6761801
1067,1165,27.26164384,0,1110.6,0,0,0,0,24571.21,0,407.7633658,2423.229397,457.3003161,75.77574951,0.5,43641,286.0325915
175,1166,108.2684932,4208.58,0,0,0,0,0,76884.17,0,107.5774555,1333.726907,611.2138564,54.07545192,0,13733,393.2079209
198,1167,100.4027397,17991.24,16606.02,0,0,0,0,36477.86,0,546.690099,1249.674679,746.6087052,23.90214827,1,18246,389.6569741
629,1168,49.99863014,0,0,0,0,0,0,0,0,604.6121291,1484.013962,563.6317925,201.3838382,0.5,16075,284.8276745
524,1169,63.76438356,4203.08,19245.76,0,0,0,0,72283.251,0,110.0815977,1789.743293,47.7013868,62.55123432,2,39145,654.8942041
859,1170,37.47534247,8450.35,8510.23,0,0,20130.72,0,11990.18,0,227.3538766,1281.652319,318.4946993,20.51655028,2,34434,808.549434
539,1171,69.8,0,13696.26,0,1205.61,0,0,71078.42,0,228.6898108,1673.440053,378.7111826,20.78965309,1,22863,608.1059042
742,1172,54.08356164,0,21279.76,0,0,3773.45,0,60417.65,0,130.6761929,1509.719794,443.5298457,20.32402341,0.5,7079,468.2508364
194,1173,111.6054795,0,13612.03,0,0,24316.95,0,8988.59,0,170.2481386,855.1592556,578.4185974,100.8553442,1,42305,724.2877937
928,1174,38.87123288,17421.31,4265.92,0,0,27530.57,19537.67,0,0,251.2486838,923.1525239,593.6621789,85.97295449,0.5,26988,712.3012972
977,1175,37.65890411,0,7821.73,0,0,23653.43,0,4723.19,0,184.5684692,702.344369,513.7421767,141.6173157,4.571428571,39231,744.3769936
775,1177,49.90821918,11156.38,8007.78,0,0,0,0,30211.56,0,370.4549897,908.1123038,1126.934772,33.70442275,3,18246,388.9905752
1035,1178,33.28767123,0,6788.83,0,0,38468.62,0,37270.97,0,220.1152404,2856.064494,8.101798078,9.596017033,1.5,32196,534.3881556
829,1180,54.00273973,0,0,0,0,0,0,0,0,504.8158768,1419.581149,482.9921918,223.697018,0.333333333,18246,507.1853972
1400,1181,13.13287671,0,0,0,0,0,0,0,6120.53,377.1895487,563.3944815,1185.785838,101.1969961,0.5,18246,200.2684145
350,1182,88.9890411,0,5932.06,0,0,10611.19,3225.53,25243.96,0,214.0881311,855.3555788,707.1344918,38.76539561,1.6,26988,260.6316034
1429,1183,11.76712329,5898.42,486.93,0,0,0,0,20405.74,0,233.2748116,86.04923276,1115.737335,225.3430227,7,13255,677.8340156
608,1184,72.68356164,0,2303.43,0,0,1201.34,0,23150.21,0,189.6893416,1010.221009,633.5275094,170.1630413,0.333333333,16075,1148.56205
643,1185,54.73013699,0,6935.81,0,0,0,0,45375.7,0,86.54949733,1475.120512,471.1575665,23.65646355,0.5,13733,309.8620237
1179,1186,25.69863014,7156.395,903.37,0,0,0,0,22826.45,0,57.65085644,825.2423633,803.6175662,34.74764809,0,16075,1131.385144
1349,1187,21.04109589,0,284.85,0,0,0,0,2432.1,33981.7,157.5913614,727.4715875,1011.68545,60.05033892,0.5,34321,163.447684
1274,1188,16.82191781,0,0,0,0,0,0,0,0,381.9719979,2659.128594,460.4522882,141.7786089,0.5,22639,357.880734
1083,1190,34.17123288,0,0,0,0,0,0,0,0,929.9510114,1829.20749,112.1660349,74.42426933,0.5,22639,351.8231677
388,1191,80.85068493,0,0,0,0,0,0,0,0,882.2714229,1781.124531,151.7605249,70.46049294,0.666666667,40885,445.975567
685,1192,51.62054795,0,0,0,0,0,0,34362.62,0,532.3772856,1442.297342,528.3998627,78.66140068,0,18246,321.9909824
387,1193,85.71780822,0,0,0,0,0,0,0,0,504.1419793,1396.622268,503.4074461,45.82134974,0.333333333,40885,370.0721244
938,1194,37.86849315,0,0,0,0,0,0,0,0,420.0097071,1522.915116,527.2860093,235.0170734,1,22639,691.728525
395,1195,76.94109589,0,0,0,0,0,0,0,0,650.7248534,1699.578393,554.6720822,105.9116054,0.5,22639,374.8650984
1027,1196,26.77260274,0,0,0,0,0,0,0,0,347.2642257,2068.012878,486.3200917,71.92571334,0.333333333,22639,325.2973649
150,1197,111.9027397,0,0,0,0,0,0,0,0,249.7465681,1258.9084,245.5584185,168.9164713,0,22639,579.4704522
840,1198,33.46164384,0,0,0,0,0,0,0,0,1006.884292,1928.67499,316.1150781,18.93362918,0.5,43641,386.8775137
964,1199,50.22328767,0,55709.23,0,0,0,0,34108.03,0,119.8484478,699.1552929,106.4425886,72.02902651,1.666666667,50462,712.8805988
1464,1200,9.132876712,0,0,0,0,0,0,0,0,239.1017984,3681.360049,74.55572322,26.42571338,1.2,11194,295.8091591
11,2701,226.890411,0,0,0,0,0,0,0,0,970.5862116,2149.200118,305.4166182,6.157068998,1,43641,209.7216092
987,2702,36.6,0,0,0,0,0,0,0,0,273.0659493,2455.529656,310.6364869,100.0056926,0.5,21002,432.3706035
992,2801,66.0056391,0,0,0,0,101681.732,0,0,0,360.7852905,3053.814899,537.876297,27.9694512,1.25,14641,394.8054943
