,grid,rank
1456,2057,429
261,572,430
2221,2970,431
267,578,432
2015,2719,433
2032,2736,434
2379,3202,435
1172,1725,436
975,1509,437
260,571,438
2082,2797,439
2497,3389,440
2029,2733,441
2125,2851,442
2126,2852,443
2636,3827,444
567,1000,445
470,868,446
190,457,447
1928,2611,448
150,392,449
728,1235,450
885,1409,451
2461,3330,452
371,737,453
932,1461,454
1277,1846,455
554,987,456
1667,2304,457
460,858,458
1889,2562,459
2209,2958,460
2534,3450,461
232,521,462
2344,3144,463
2381,3204,464
1824,2488,465
225,514,466
1880,2553,467
2384,3207,468
816,1335,469
863,1387,470
269,580,471
1513,2123,472
585,1038,473
1143,1696,474
628,1102,475
886,1410,476
768,1282,477
117,332,478
889,1413,479
134,349,480
297,630,481
835,1354,482
120,335,483
304,637,484
463,861,485
1045,1585,486
1383,1967,487
87,273,488
2386,3209,489
1044,1584,490
1861,2534,491
1879,2552,492
1870,2543,493
186,453,494
715,1222,495
508,923,496
1719,2365,497
227,516,498
300,633,499
1326,1903,500
1500,2110,501
222,511,502
624,1098,503
387,753,504
1097,1643,505
1617,2245,506
1469,2070,507
2425,3271,508
1769,2424,509
89,275,510
122,337,511
883,1407,512
780,1294,513
1878,2551,514
294,627,515
346,696,516
1325,1902,517
259,570,518
991,1525,519
1829,2493,520
2163,2900,521
2345,3145,522
421,803,523
505,920,524
666,1159,525
265,576,526
1166,1719,527
2415,3261,528
887,1411,529
938,1467,530
825,1344,531
1862,2535,532
1930,2613,533
1985,2679,534
1620,2248,535
641,1115,536
220,509,537
434,816,538
1204,1765,539
1838,2502,540
1965,2659,541
1538,2148,542
1380,1964,543
60,215,544
32,155,545
33,156,546
777,1291,547
712,1219,548
769,1283,549
1764,2419,550
148,390,551
1568,2187,552
1812,2476,553
1220,1781,554
1090,1636,555
388,754,556
973,1507,557
1505,2115,558
1771,2426,559
1983,2677,560
92,278,561
2124,2850,562
2489,3381,563
639,1113,564
1756,2411,565
788,1302,566
1267,1836,567
815,1334,568
864,1388,569
2174,2911,570
187,454,571
1353,1937,572
1520,2130,573
557,990,574
813,1332,575
1810,2474,576
2175,2912,577
897,1421,578
1727,2373,579
511,926,580
1929,2612,581
188,455,582
667,1160,583
1167,1720,584
515,930,585
398,764,586
2387,3210,587
1609,2237,588
1788,2443,589
2535,3451,590
2012,2716,591
918,1447,592
2127,2853,593
233,522,594
546,979,595
1203,1764,596
182,449,597
669,1162,598
1151,1704,599
1979,2673,600
156,398,601
1264,1833,602
509,924,603
1872,2545,604
2382,3205,605
2311,3090,606
262,573,607
1007,1541,608
1217,1778,609
941,1470,610
1977,2671,611
12,95,612
303,636,613
590,1043,614
2061,2776,615
2622,3707,616
2459,3328,617
1515,2125,618
1106,1652,619
544,977,620
1432,2024,621
1086,1632,622
1029,1569,623
1777,2432,624
390,756,625
