대여소번호,총대여건수,총반납건수,총이용량,19년도총이용량,20년도총이용량,유지기간,일별평균이용량,일별대여평균이용량,일별반납평균이용량
101.0,14919.0,14714.0,29633.0,17607.0,12026.0,730.0,40.59315068493151,20.436986301369863,20.156164383561645
102.0,59082.0,54010.0,113092.0,67430.0,45662.0,730.0,154.92054794520547,80.93424657534247,73.98630136986301
103.0,40655.0,38358.0,79013.0,46153.0,32860.0,730.0,108.23698630136987,55.69178082191781,52.54520547945206
104.0,34652.0,30358.0,65010.0,39840.0,25170.0,730.0,89.05479452054794,47.46849315068493,41.586301369863016
105.0,20565.0,18317.0,38882.0,20860.0,18022.0,730.0,53.26301369863014,28.171232876712327,25.09178082191781
106.0,72008.0,68592.0,140600.0,76880.0,63720.0,730.0,192.6027397260274,98.64109589041095,93.96164383561644
107.0,45512.0,51235.0,96747.0,58255.0,38492.0,730.0,132.53013698630136,62.345205479452055,70.18493150684931
108.0,31720.0,31289.0,63009.0,38573.0,24436.0,730.0,86.31369863013698,43.45205479452055,42.86164383561644
109.0,33075.0,32171.0,65246.0,40344.0,24902.0,730.0,89.37808219178082,45.30821917808219,44.06986301369863
111.0,29563.0,27555.0,57118.0,33018.0,24100.0,730.0,78.24383561643836,40.4972602739726,37.74657534246575
112.0,26033.0,25274.0,51307.0,32908.0,18399.0,730.0,70.28356164383561,35.66164383561644,34.62191780821918
114.0,60956.0,62361.0,123317.0,66047.0,57270.0,730.0,168.92739726027398,83.5013698630137,85.42602739726027
115.0,25660.0,22144.0,47804.0,32680.0,15124.0,56.0,853.6428571428571,458.2142857142857,395.42857142857144
116.0,33627.0,34415.0,68042.0,41493.0,26549.0,730.0,93.20821917808219,46.06438356164384,47.14383561643836
117.0,51728.0,49548.0,101276.0,50421.0,50855.0,730.0,138.73424657534247,70.86027397260274,67.87397260273973
118.0,26741.0,24866.0,51607.0,30766.0,20841.0,730.0,70.6945205479452,36.631506849315066,34.06301369863014
119.0,28299.0,28719.0,57018.0,31318.0,25700.0,730.0,78.10684931506849,38.76575342465753,39.34109589041096
120.0,11070.0,10742.0,21812.0,14033.0,7779.0,730.0,29.87945205479452,15.164383561643836,14.715068493150685
121.0,16671.0,14644.0,31315.0,18477.0,12838.0,730.0,42.897260273972606,22.836986301369862,20.06027397260274
122.0,20492.0,19453.0,39945.0,24164.0,15781.0,730.0,54.71917808219178,28.07123287671233,26.647945205479452
123.0,35030.0,33926.0,68956.0,35522.0,33434.0,730.0,94.46027397260274,47.986301369863014,46.47397260273973
124.0,28926.0,23343.0,52269.0,32423.0,19846.0,730.0,71.6013698630137,39.62465753424657,31.976712328767125
125.0,19915.0,19204.0,39119.0,30720.0,8399.0,730.0,53.587671232876716,27.28082191780822,26.306849315068494
126.0,35763.0,35270.0,71033.0,48415.0,22618.0,730.0,97.3054794520548,48.99041095890411,48.31506849315068
127.0,9637.0,6468.0,16105.0,10496.0,5609.0,730.0,22.061643835616437,13.2013698630137,8.860273972602739
128.0,36767.0,35776.0,72543.0,48695.0,23848.0,730.0,99.37397260273973,50.365753424657534,49.00821917808219
129.0,20649.0,20089.0,40738.0,29297.0,11441.0,730.0,55.8054794520548,28.286301369863015,27.519178082191782
130.0,36695.0,36050.0,72745.0,41530.0,31215.0,730.0,99.65068493150685,50.26712328767123,49.38356164383562
131.0,40323.0,42182.0,82505.0,41950.0,40555.0,730.0,113.02054794520548,55.23698630136986,57.78356164383562
133.0,33809.0,35255.0,69064.0,36715.0,32349.0,730.0,94.6082191780822,46.31369863013698,48.294520547945204
134.0,18237.0,17783.0,36020.0,21371.0,14649.0,63.0,571.7460317460317,289.4761904761905,282.26984126984127
135.0,13965.0,14182.0,28147.0,17785.0,10362.0,730.0,38.557534246575344,19.13013698630137,19.427397260273974
136.0,6584.0,2661.0,9245.0,5271.0,3974.0,730.0,12.664383561643836,9.01917808219178,3.6452054794520548
137.0,9059.0,5742.0,14801.0,9448.0,5353.0,730.0,20.275342465753425,12.40958904109589,7.865753424657535
138.0,12952.0,12406.0,25358.0,15327.0,10031.0,730.0,34.73698630136986,17.742465753424657,16.994520547945207
139.0,10573.0,5370.0,15943.0,10990.0,4953.0,730.0,21.839726027397262,14.483561643835616,7.3561643835616435
140.0,14450.0,14374.0,28824.0,18940.0,9884.0,730.0,39.484931506849314,19.794520547945204,19.69041095890411
141.0,14347.0,9076.0,23423.0,15977.0,7446.0,730.0,32.086301369863016,19.653424657534245,12.432876712328767
142.0,11483.0,10254.0,21737.0,13300.0,8437.0,730.0,29.776712328767122,15.73013698630137,14.046575342465754
143.0,23539.0,23534.0,47073.0,28666.0,18407.0,730.0,64.48356164383561,32.24520547945205,32.23835616438356
144.0,56379.0,57086.0,113465.0,61432.0,52033.0,730.0,155.43150684931507,77.23150684931507,78.2
145.0,22709.0,23112.0,45821.0,27274.0,18547.0,730.0,62.76849315068493,31.10821917808219,31.660273972602738
146.0,45378.0,46615.0,91993.0,49798.0,42195.0,730.0,126.01780821917808,62.16164383561644,63.85616438356164
147.0,40383.0,41964.0,82347.0,44490.0,37857.0,730.0,112.80410958904109,55.31917808219178,57.484931506849314
148.0,31884.0,32336.0,64220.0,33578.0,30642.0,730.0,87.97260273972603,43.676712328767124,44.295890410958904
150.0,26119.0,25247.0,51366.0,32318.0,19048.0,730.0,70.36438356164383,35.77945205479452,34.584931506849315
151.0,41229.0,42525.0,83754.0,45617.0,38137.0,730.0,114.73150684931507,56.47808219178082,58.25342465753425
152.0,114259.0,122056.0,236315.0,116086.0,120229.0,98.0,2411.377551020408,1165.908163265306,1245.469387755102
153.0,32742.0,31079.0,63821.0,33889.0,29932.0,730.0,87.42602739726027,44.85205479452055,42.57397260273972
154.0,45499.0,45150.0,90649.0,50718.0,39931.0,730.0,124.17671232876712,62.327397260273976,61.84931506849315
155.0,25450.0,24202.0,49652.0,29507.0,20145.0,730.0,68.01643835616439,34.863013698630134,33.153424657534245
156.0,16939.0,17135.0,34074.0,21495.0,12579.0,730.0,46.676712328767124,23.204109589041096,23.472602739726028
157.0,26074.0,26513.0,52587.0,30919.0,21668.0,730.0,72.03698630136986,35.71780821917808,36.31917808219178
158.0,12832.0,11224.0,24056.0,14379.0,9677.0,730.0,32.95342465753425,17.578082191780823,15.375342465753425
159.0,8511.0,4840.0,13351.0,9106.0,4245.0,730.0,18.28904109589041,11.658904109589042,6.63013698630137
160.0,13868.0,8525.0,22393.0,13388.0,9005.0,730.0,30.675342465753424,18.997260273972604,11.678082191780822
161.0,7720.0,6391.0,14111.0,7874.0,6237.0,730.0,19.33013698630137,10.575342465753424,8.754794520547945
162.0,19283.0,7200.0,26483.0,18233.0,8250.0,730.0,36.278082191780825,26.415068493150685,9.863013698630137
163.0,7876.0,7076.0,14952.0,9488.0,5464.0,730.0,20.482191780821918,10.789041095890411,9.693150684931506
164.0,10909.0,8587.0,19496.0,11702.0,7794.0,730.0,26.706849315068492,14.943835616438356,11.763013698630138
165.0,25724.0,20410.0,46134.0,25194.0,20940.0,730.0,63.1972602739726,35.23835616438356,27.958904109589042
166.0,37208.0,33113.0,70321.0,38691.0,31630.0,730.0,96.33013698630137,50.96986301369863,45.36027397260274
167.0,11194.0,2336.0,13530.0,8211.0,5319.0,730.0,18.534246575342465,15.334246575342465,3.2
169.0,10966.0,9423.0,20389.0,12009.0,8380.0,730.0,27.93013698630137,15.021917808219179,12.908219178082192
170.0,21936.0,20753.0,42689.0,25190.0,17499.0,730.0,58.47808219178082,30.04931506849315,28.42876712328767
171.0,12695.0,11141.0,23836.0,13294.0,10542.0,730.0,32.652054794520545,17.39041095890411,15.261643835616438
173.0,13614.0,12006.0,25620.0,15551.0,10069.0,730.0,35.0958904109589,18.649315068493152,16.446575342465753
175.0,42718.0,40905.0,83623.0,46895.0,36728.0,730.0,114.55205479452054,58.51780821917808,56.034246575342465
176.0,35887.0,37993.0,73880.0,47035.0,26845.0,730.0,101.20547945205479,49.16027397260274,52.04520547945206
177.0,11708.0,11766.0,23474.0,13241.0,10233.0,730.0,32.156164383561645,16.03835616438356,16.117808219178084
178.0,19379.0,18427.0,37806.0,18948.0,18858.0,730.0,51.78904109589041,26.546575342465754,25.242465753424657
179.0,27624.0,25702.0,53326.0,32020.0,21306.0,730.0,73.04931506849314,37.84109589041096,35.20821917808219
180.0,17362.0,13809.0,31171.0,18377.0,12794.0,730.0,42.7,23.783561643835615,18.916438356164385
181.0,8076.0,6544.0,14620.0,7056.0,7564.0,730.0,20.027397260273972,11.063013698630137,8.964383561643835
182.0,43756.0,42560.0,86316.0,44870.0,41446.0,730.0,118.24109589041096,59.93972602739726,58.3013698630137
183.0,54364.0,48451.0,102815.0,64148.0,38667.0,730.0,140.84246575342465,74.47123287671234,66.37123287671233
184.0,36566.0,36127.0,72693.0,41851.0,30842.0,730.0,99.57945205479452,50.09041095890411,49.489041095890414
185.0,24715.0,20991.0,45706.0,27488.0,18218.0,730.0,62.61095890410959,33.85616438356164,28.754794520547946
186.0,48428.0,45097.0,93525.0,40019.0,53506.0,730.0,128.1164383561644,66.33972602739726,61.776712328767125
188.0,21188.0,20724.0,41912.0,23923.0,17989.0,730.0,57.413698630136984,29.024657534246575,28.389041095890413
191.0,15428.0,16756.0,32184.0,17093.0,15091.0,730.0,44.087671232876716,21.134246575342466,22.953424657534246
192.0,13432.0,11156.0,24588.0,15432.0,9156.0,730.0,33.68219178082192,18.4,15.282191780821918
194.0,30380.0,30186.0,60566.0,31796.0,28770.0,730.0,82.96712328767123,41.61643835616438,41.35068493150685
195.0,13071.0,10374.0,23445.0,13026.0,10419.0,730.0,32.11643835616438,17.905479452054795,14.210958904109589
196.0,7941.0,5585.0,13526.0,8119.0,5407.0,730.0,18.528767123287672,10.878082191780821,7.6506849315068495
198.0,14302.0,9887.0,24189.0,13905.0,10284.0,730.0,33.135616438356166,19.59178082191781,13.543835616438356
199.0,17763.0,11716.0,29479.0,18763.0,10716.0,730.0,40.38219178082192,24.332876712328765,16.04931506849315
200.0,12123.0,11627.0,23750.0,15093.0,8657.0,730.0,32.534246575342465,16.606849315068494,15.927397260273972
201.0,27860.0,26919.0,54779.0,29902.0,24877.0,730.0,75.03972602739726,38.16438356164384,36.87534246575343
202.0,63500.0,60751.0,124251.0,67952.0,56299.0,730.0,170.2068493150685,86.98630136986301,83.22054794520548
203.0,31869.0,31089.0,62958.0,35425.0,27533.0,730.0,86.24383561643836,43.656164383561645,42.587671232876716
204.0,24156.0,23019.0,47175.0,28346.0,18829.0,730.0,64.62328767123287,33.09041095890411,31.53287671232877
205.0,30090.0,28347.0,58437.0,30837.0,27600.0,730.0,80.05068493150685,41.21917808219178,38.83150684931507
206.0,38801.0,34147.0,72948.0,39570.0,33378.0,730.0,99.92876712328767,53.152054794520545,46.776712328767125
207.0,183182.0,174157.0,357339.0,181714.0,175625.0,730.0,489.5054794520548,250.93424657534246,238.57123287671232
209.0,20676.0,19977.0,40653.0,21456.0,19197.0,730.0,55.68904109589041,28.323287671232876,27.365753424657534
210.0,83762.0,81293.0,165055.0,91395.0,73660.0,730.0,226.1027397260274,114.74246575342465,111.36027397260274
211.0,50488.0,43546.0,94034.0,53170.0,40864.0,730.0,128.813698630137,69.16164383561645,59.652054794520545
212.0,42018.0,21076.0,63094.0,38463.0,24631.0,730.0,86.43013698630136,57.558904109589044,28.87123287671233
213.0,30012.0,26193.0,56205.0,31728.0,24477.0,730.0,76.9931506849315,41.11232876712329,35.88082191780822
214.0,23157.0,18679.0,41836.0,23743.0,18093.0,730.0,57.30958904109589,31.721917808219178,25.587671232876712
215.0,18971.0,19323.0,38294.0,20779.0,17515.0,730.0,52.45753424657534,25.987671232876714,26.46986301369863
217.0,27703.0,28182.0,55885.0,33075.0,22810.0,730.0,76.55479452054794,37.94931506849315,38.605479452054794
218.0,16675.0,13718.0,30393.0,16584.0,13809.0,730.0,41.634246575342466,22.84246575342466,18.791780821917808
219.0,20468.0,19047.0,39515.0,21765.0,17750.0,730.0,54.13013698630137,28.03835616438356,26.09178082191781
220.0,22574.0,16502.0,39076.0,19820.0,19256.0,730.0,53.52876712328767,30.923287671232877,22.605479452054794
221.0,32367.0,31676.0,64043.0,31809.0,32234.0,730.0,87.73013698630137,44.33835616438356,43.391780821917806
222.0,53928.0,55097.0,109025.0,58983.0,50042.0,98.0,1112.5,550.2857142857143,562.2142857142857
223.0,23566.0,21352.0,44918.0,25881.0,19037.0,730.0,61.53150684931507,32.28219178082192,29.24931506849315
224.0,31443.0,29313.0,60756.0,33349.0,27407.0,730.0,83.22739726027397,43.07260273972603,40.154794520547945
225.0,22989.0,17229.0,40218.0,19755.0,20463.0,730.0,55.09315068493151,31.491780821917807,23.601369863013698
226.0,28204.0,21806.0,50010.0,25830.0,24180.0,730.0,68.5068493150685,38.635616438356166,29.87123287671233
227.0,33929.0,38664.0,72593.0,33091.0,39502.0,730.0,99.44246575342466,46.47808219178082,52.964383561643835
228.0,55199.0,54463.0,109662.0,53588.0,56074.0,730.0,150.2219178082192,75.61506849315069,74.60684931506849
229.0,30994.0,31065.0,62059.0,29405.0,32654.0,730.0,85.0123287671233,42.45753424657534,42.554794520547944
230.0,71985.0,69441.0,141426.0,78200.0,63226.0,730.0,193.73424657534247,98.60958904109589,95.12465753424658
231.0,17814.0,16205.0,34019.0,20043.0,13976.0,730.0,46.6013698630137,24.4027397260274,22.198630136986303
232.0,55699.0,54067.0,109766.0,60903.0,48863.0,730.0,150.36438356164385,76.3,74.06438356164384
233.0,6746.0,6370.0,13116.0,6382.0,6734.0,730.0,17.96712328767123,9.241095890410959,8.726027397260275
234.0,14856.0,14533.0,29389.0,17400.0,11989.0,730.0,40.25890410958904,20.350684931506848,19.90821917808219
235.0,14815.0,14547.0,29362.0,15919.0,13443.0,730.0,40.221917808219175,20.294520547945204,19.927397260273974
236.0,27275.0,25845.0,53120.0,27811.0,25309.0,730.0,72.76712328767124,37.363013698630134,35.4041095890411
237.0,22935.0,24491.0,47426.0,26039.0,21387.0,730.0,64.96712328767123,31.41780821917808,33.54931506849315
238.0,30546.0,29169.0,59715.0,40379.0,19336.0,730.0,81.8013698630137,41.843835616438355,39.95753424657534
239.0,22936.0,20034.0,42970.0,25296.0,17674.0,730.0,58.863013698630134,31.41917808219178,27.443835616438356
240.0,37544.0,35369.0,72913.0,41969.0,30944.0,730.0,99.88082191780822,51.43013698630137,48.45068493150685
241.0,21245.0,21901.0,43146.0,25170.0,17976.0,730.0,59.104109589041094,29.102739726027398,30.0013698630137
242.0,15576.0,14080.0,29656.0,16894.0,12762.0,730.0,40.62465753424657,21.336986301369862,19.28767123287671
243.0,32063.0,31019.0,63082.0,32908.0,30174.0,730.0,86.41369863013699,43.92191780821918,42.49178082191781
244.0,29546.0,26576.0,56122.0,32094.0,24028.0,730.0,76.87945205479453,40.47397260273973,36.40547945205479
245.0,37334.0,35747.0,73081.0,39783.0,33298.0,730.0,100.1109589041096,51.14246575342466,48.96849315068493
247.0,84758.0,81198.0,165956.0,90297.0,75659.0,730.0,227.33698630136988,116.10684931506849,111.23013698630137
248.0,40751.0,41707.0,82458.0,44884.0,37574.0,730.0,112.95616438356164,55.823287671232876,57.132876712328766
249.0,35321.0,37712.0,73033.0,31814.0,41219.0,730.0,100.04520547945205,48.38493150684931,51.66027397260274
250.0,11660.0,11235.0,22895.0,10931.0,11964.0,730.0,31.363013698630137,15.972602739726028,15.39041095890411
251.0,16583.0,16611.0,33194.0,17459.0,15735.0,730.0,45.47123287671233,22.716438356164385,22.754794520547946
252.0,22879.0,24305.0,47184.0,26097.0,21087.0,730.0,64.63561643835617,31.34109589041096,33.294520547945204
253.0,21419.0,21227.0,42646.0,25912.0,16734.0,730.0,58.41917808219178,29.34109589041096,29.078082191780823
254.0,16907.0,18161.0,35068.0,17098.0,17970.0,730.0,48.038356164383565,23.160273972602738,24.878082191780823
255.0,21228.0,22850.0,44078.0,25108.0,18970.0,730.0,60.38082191780822,29.07945205479452,31.301369863013697
256.0,17649.0,17008.0,34657.0,19612.0,15045.0,730.0,47.47534246575343,24.176712328767124,23.2986301369863
257.0,42507.0,50826.0,93333.0,47798.0,45535.0,730.0,127.85342465753425,58.228767123287675,69.62465753424658
258.0,24048.0,22029.0,46077.0,25896.0,20181.0,730.0,63.11917808219178,32.942465753424656,30.176712328767124
259.0,52526.0,49700.0,102226.0,56752.0,45474.0,730.0,140.03561643835616,71.95342465753424,68.08219178082192
260.0,13479.0,12767.0,26246.0,14837.0,11409.0,730.0,35.95342465753425,18.464383561643835,17.48904109589041
262.0,47511.0,47041.0,94552.0,52515.0,42037.0,730.0,129.52328767123288,65.08356164383562,64.43972602739726
263.0,44535.0,43785.0,88320.0,41837.0,46483.0,730.0,120.98630136986301,61.00684931506849,59.97945205479452
264.0,23488.0,19672.0,43160.0,25037.0,18123.0,730.0,59.12328767123287,32.175342465753424,26.947945205479453
265.0,20045.0,17794.0,37839.0,19955.0,17884.0,730.0,51.83424657534247,27.458904109589042,24.375342465753423
266.0,15052.0,13819.0,28871.0,17660.0,11211.0,730.0,39.54931506849315,20.61917808219178,18.93013698630137
267.0,25889.0,24502.0,50391.0,26362.0,24029.0,730.0,69.02876712328766,35.464383561643835,33.56438356164384
268.0,28559.0,27278.0,55837.0,30456.0,25381.0,730.0,76.48904109589041,39.12191780821918,37.367123287671234
270.0,13434.0,12178.0,25612.0,13305.0,12307.0,730.0,35.084931506849315,18.4027397260274,16.682191780821917
271.0,8873.0,7971.0,16844.0,8462.0,8382.0,730.0,23.073972602739726,12.154794520547945,10.919178082191781
272.0,82302.0,83011.0,165313.0,79561.0,85752.0,730.0,226.45616438356166,112.74246575342465,113.71369863013699
274.0,62407.0,66031.0,128438.0,70102.0,58336.0,730.0,175.94246575342467,85.48904109589041,90.45342465753424
275.0,39258.0,39509.0,78767.0,44041.0,34726.0,730.0,107.9,53.778082191780825,54.12191780821918
276.0,30038.0,29149.0,59187.0,30473.0,28714.0,730.0,81.07808219178082,41.14794520547945,39.93013698630137
277.0,27431.0,26327.0,53758.0,28598.0,25160.0,730.0,73.64109589041095,37.57671232876712,36.06438356164384
278.0,30142.0,29695.0,59837.0,30595.0,29242.0,730.0,81.96849315068494,41.29041095890411,40.678082191780824
279.0,28380.0,25938.0,54318.0,32673.0,21645.0,730.0,74.40821917808219,38.87671232876713,35.53150684931507
280.0,30006.0,29089.0,59095.0,30517.0,28578.0,730.0,80.95205479452055,41.104109589041094,39.847945205479455
281.0,13830.0,14174.0,28004.0,14591.0,13413.0,730.0,38.36164383561644,18.945205479452056,19.416438356164385
282.0,7755.0,7859.0,15614.0,7940.0,7674.0,730.0,21.389041095890413,10.623287671232877,10.765753424657534
283.0,43521.0,43060.0,86581.0,44335.0,42246.0,730.0,118.6041095890411,59.61780821917808,58.986301369863014
284.0,59206.0,57081.0,116287.0,63132.0,53155.0,730.0,159.2972602739726,81.1041095890411,78.19315068493151
285.0,9560.0,10870.0,20430.0,10964.0,9466.0,730.0,27.986301369863014,13.095890410958905,14.89041095890411
286.0,18183.0,21689.0,39872.0,20932.0,18940.0,730.0,54.61917808219178,24.90821917808219,29.71095890410959
287.0,31430.0,30413.0,61843.0,37660.0,24183.0,730.0,84.71643835616439,43.054794520547944,41.66164383561644
288.0,12695.0,12183.0,24878.0,11949.0,12929.0,730.0,34.07945205479452,17.39041095890411,16.68904109589041
289.0,14321.0,15860.0,30181.0,16502.0,13679.0,730.0,41.343835616438355,19.617808219178084,21.726027397260275
290.0,24427.0,22955.0,47382.0,25087.0,22295.0,730.0,64.9068493150685,33.461643835616435,31.445205479452056
291.0,29404.0,29377.0,58781.0,28605.0,30176.0,730.0,80.52191780821917,40.27945205479452,40.24246575342466
292.0,12854.0,12429.0,25283.0,12373.0,12910.0,730.0,34.634246575342466,17.60821917808219,17.026027397260275
293.0,38942.0,37904.0,76846.0,42059.0,34787.0,730.0,105.26849315068493,53.345205479452055,51.92328767123288
300.0,19736.0,17356.0,37092.0,20884.0,16208.0,730.0,50.81095890410959,27.035616438356165,23.775342465753425
301.0,21100.0,14909.0,36009.0,19904.0,16105.0,730.0,49.327397260273976,28.904109589041095,20.423287671232877
302.0,38327.0,33106.0,71433.0,39915.0,31518.0,730.0,97.85342465753425,52.5027397260274,45.35068493150685
303.0,26546.0,22346.0,48892.0,27852.0,21040.0,730.0,66.97534246575343,36.364383561643834,30.610958904109587
305.0,27784.0,25898.0,53682.0,33168.0,20514.0,730.0,73.53698630136986,38.06027397260274,35.47671232876712
306.0,23434.0,17702.0,41136.0,22247.0,18889.0,730.0,56.35068493150685,32.1013698630137,24.24931506849315
307.0,19199.0,17084.0,36283.0,23235.0,13048.0,730.0,49.702739726027396,26.3,23.4027397260274
309.0,16089.0,12458.0,28547.0,17416.0,11131.0,730.0,39.105479452054794,22.03972602739726,17.065753424657533
